Contract,tenure_group,customers,churn_rate,avg_monthly_charges,revenue_at_risk_mrr
Month-to-month,0-6,1413,0.0,55.8771408351026,49681.3
Month-to-month,13-24,737,0.0,69.309565807327,21980.3
Month-to-month,25+,1144,0.0,78.7819055944056,30565.35
Month-to-month,7-12,581,0.0,63.9106712564544,18620.15
One year,0-6,39,0.0,27.3525641025641,214.8
One year,13-24,197,0.0,44.8786802030457,1101.35
One year,25+,1152,0.0,71.6463541666667,12364.3
One year,7-12,85,0.0,39.6723529411765,438.0
Two year,0-6,29,0.0,36.0965517241379,0
Two year,13-24,90,0.0,32.3066666666667,0
Two year,25+,1537,0.0,63.7566037735849,4165.3
Two year,7-12,39,0.0,27.1166666666667,0
