customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MonthlyCharges,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
7590-VHVEG,Female,No,Yes,No,1,29.85,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,No
5575-GNVDE,Male,No,No,No,34,56.95,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,1889.5,No
3668-QPYBK,Male,No,No,No,2,53.85,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,108.15,Yes
7795-CFOCW,Male,No,No,No,45,42.3,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),1840.75,No
9237-HQITU,Female,No,No,No,2,70.7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,151.65,Yes
9305-CDSKC,Female,No,No,No,8,99.65,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,820.5,Yes
1452-KIOVK,Male,No,No,Yes,22,89.1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1949.4,No
6713-OKOMC,Female,No,No,No,10,29.75,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,301.9,No
7892-POOKP,Female,No,Yes,No,28,104.8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3046.05,Yes
6388-TABGU,Male,No,No,Yes,62,56.15,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),3487.95,No
9763-GRSKD,Male,No,Yes,Yes,13,49.95,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,587.45,No
7469-LKBCI,Male,No,No,No,16,18.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),326.8,No
8091-TTVAX,Male,No,Yes,No,58,100.35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),5681.1,No
0280-XJGEX,Male,No,No,No,49,103.7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5036.3,Yes
5129-JLPIS,Male,No,No,No,25,105.5,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2686.05,No
3655-SNQYZ,Female,No,Yes,Yes,69,113.25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),7895.15,No
8191-XWSZG,Female,No,No,No,52,20.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1022.95,No
9959-WOFKT,Male,No,No,Yes,71,106.7,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),7382.25,No
4190-MFLUW,Female,No,Yes,Yes,10,55.2,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),528.35,Yes
4183-MYFRB,Female,No,No,No,21,90.05,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1862.9,No
8779-QRDMV,Male,Yes,No,No,1,39.65,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes
1680-VDCWW,Male,No,Yes,No,12,19.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),202.25,No
1066-JKSGK,Male,No,No,No,1,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes
3638-WEABW,Female,No,Yes,No,58,59.9,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),3505.1,No
6322-HRPFA,Male,No,Yes,Yes,49,59.6,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),2970.3,No
6865-JZNKO,Female,No,No,No,30,55.3,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1530.6,No
6467-CHFZW,Male,No,Yes,Yes,47,99.35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4749.15,Yes
8665-UTDHZ,Male,No,Yes,Yes,1,30.2,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes
5248-YGIJN,Male,No,Yes,No,72,90.25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6369.45,No
8773-HHUOZ,Female,No,No,Yes,17,64.7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1093.1,Yes
3841-NFECX,Female,Yes,Yes,No,71,96.35,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),6766.95,No
4929-XIHVW,Male,Yes,Yes,No,2,95.5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),181.65,No
6827-IEAUQ,Female,No,Yes,Yes,27,66.15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,1874.45,No
7310-EGVHZ,Male,No,No,No,1,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No
3413-BMNZE,Male,Yes,No,No,1,45.25,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No
