customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MonthlyCharges,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,tenure_group,avg_charge_per_month,services_count,is_auto_pay,is_high_monthly_charge
7590-VHVEG,Female,No,Yes,No,1,29.85,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,No,0-6,29.85,1,0,0
5575-GNVDE,Male,No,No,No,34,56.95,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,1889.5,No,25+,55.5735294117647,2,0,0
3668-QPYBK,Male,No,No,No,2,53.85,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,108.15,Yes,0-6,54.075,2,0,0
7795-CFOCW,Male,No,No,No,45,42.3,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),1840.75,No,25+,40.9055555555556,3,1,0
9237-HQITU,Female,No,No,No,2,70.7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,151.65,Yes,0-6,75.825,0,0,0
9305-CDSKC,Female,No,No,No,8,99.65,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,820.5,Yes,7-12,102.5625,3,0,1
1452-KIOVK,Male,No,No,Yes,22,89.1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1949.4,No,13-24,88.6090909090909,2,1,1
6713-OKOMC,Female,No,No,No,10,29.75,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,301.9,No,7-12,30.19,1,0,0
7892-POOKP,Female,No,Yes,No,28,104.8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3046.05,Yes,25+,108.7875,4,0,1
6388-TABGU,Male,No,No,Yes,62,56.15,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),3487.95,No,25+,56.2572580645161,2,1,0
9763-GRSKD,Male,No,Yes,Yes,13,49.95,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,587.45,No,13-24,45.1884615384615,1,0,0
7469-LKBCI,Male,No,No,No,16,18.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),326.8,No,13-24,20.425,0,1,0
8091-TTVAX,Male,No,Yes,No,58,100.35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),5681.1,No,25+,97.95,3,1,1
0280-XJGEX,Male,No,No,No,49,103.7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5036.3,Yes,25+,102.781632653061,4,1,1
5129-JLPIS,Male,No,No,No,25,105.5,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2686.05,No,25+,107.442,5,0,1
3655-SNQYZ,Female,No,Yes,Yes,69,113.25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),7895.15,No,25+,114.422463768116,6,1,1
8191-XWSZG,Female,No,No,No,52,20.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1022.95,No,25+,19.6721153846154,0,0,0
9959-WOFKT,Male,No,No,Yes,71,106.7,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),7382.25,No,25+,103.975352112676,4,1,1
4190-MFLUW,Female,No,Yes,Yes,10,55.2,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),528.35,Yes,7-12,52.835,2,1,0
4183-MYFRB,Female,No,No,No,21,90.05,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1862.9,No,13-24,88.7095238095238,3,0,1
8779-QRDMV,Male,Yes,No,No,1,39.65,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,0-6,39.65,2,0,0
1680-VDCWW,Male,No,Yes,No,12,19.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),202.25,No,7-12,16.8541666666667,0,1,0
1066-JKSGK,Male,No,No,No,1,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes,0-6,20.15,0,0,0
