Contract,tenure_group,InternetService,is_auto_pay,customers,churn_rate,avg_monthly_charges,revenue_at_risk_mrr
Month-to-month,0-6,Fiber optic,0,536,0.73134328358209,80.540578358209,31652.2
Month-to-month,25+,Fiber optic,0,462,0.435064935064935,93.1780303030303,18758.85
Month-to-month,13-24,Fiber optic,0,292,0.561643835616438,88.2467465753425,14611.0
Month-to-month,7-12,Fiber optic,0,218,0.614678899082569,85.1477064220183,11666.7
Month-to-month,0-6,DSL,0,401,0.513715710723192,45.7937655860349,9177.5
Month-to-month,25+,Fiber optic,1,325,0.316923076923077,91.5218461538462,9497.95
Month-to-month,0-6,Fiber optic,1,83,0.807228915662651,81.1933734939759,5497.95
One year,25+,Fiber optic,0,217,0.248847926267281,99.2311059907834,5427.2
Month-to-month,13-24,Fiber optic,1,133,0.383458646616541,85.9928571428571,4435.9
One year,25+,Fiber optic,1,292,0.150684931506849,99.0791095890411,4538.1
Month-to-month,7-12,Fiber optic,1,79,0.632911392405063,84.9639240506329,4361.45
Two year,25+,Fiber optic,1,316,0.0664556962025316,104.406170886076,2235.35
Month-to-month,13-24,DSL,0,149,0.261744966442953,52.2422818791946,1926.5
Month-to-month,0-6,DSL,1,94,0.414893617021277,49.318085106383,1822.15
Month-to-month,7-12,DSL,0,136,0.279411764705882,50.4819852941176,1846.1
Month-to-month,0-6,No,0,247,0.267206477732794,20.2311740890688,1324.2
Month-to-month,25+,DSL,1,146,0.164383561643836,54.1318493150685,1131.5
One year,25+,DSL,1,268,0.0708955223880597,63.0975746268657,1340.9
Month-to-month,25+,DSL,0,155,0.141935483870968,53.2490322580645,1118.45
Two year,25+,Fiber optic,0,112,0.0892857142857143,105.109375,1010.75
One year,25+,DSL,0,181,0.0883977900552486,61.0367403314917,966.7
Month-to-month,13-24,DSL,1,83,0.192771084337349,53.4674698795181,838.9
Two year,25+,DSL,1,445,0.0179775280898876,71.7656179775281,574.6
Month-to-month,7-12,DSL,1,59,0.169491525423729,53.8127118644068,506.15
Two year,25+,DSL,0,140,0.0285714285714286,70.2035714285714,231.1
One year,13-24,DSL,0,43,0.0930232558139535,61.4662790697674,264.6
Month-to-month,0-6,No,1,52,0.192307692307692,20.1788461538462,207.3
Month-to-month,7-12,No,0,57,0.140350877192982,20.4052631578947,156.35
Month-to-month,13-24,No,0,55,0.0727272727272727,20.5881818181818,83.2
Two year,25+,No,1,331,0.00906344410876133,22.0351963746224,69.65
Two year,25+,No,0,193,0.0103626943005181,21.6137305699482,43.85
One year,25+,No,1,110,0.0181818181818182,21.2277272727273,46.1
One year,25+,No,0,84,0.0238095238095238,21.1845238095238,45.3
